"celex","date","dateforce","dateendvalid","lbs","lbcelex","lbsuffix","force","datetranspos"
"31984L0378","1984-06-28","1984-07-05","2000-07-29","614e9335-f623-406c-987c-c5924e385170","31977L0093","A13","false","1985-07-01"
"31989L0194","1989-03-13","1989-03-17","1994-03-02","0b35ab4b-ea09-47e8-b302-b321e5587ffe","11957E099",NA,"false","1989-01-01"
"31979L0173","1979-02-06","1979-02-09","1985-12-31","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false",NA
"31993L0004","1993-02-08","1993-02-17","1993-07-05","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1993-07-01"
"31966L0683","1966-11-07","1966-11-09","9999-12-31","76ecfd59-a3ff-4d53-9c2a-072c367b30e5","11957E033","P7","true","1967-02-01"
"31992L0017","1992-03-17","1992-03-18","1993-02-10","ebf9dd6e-86ac-449f-94d3-1704bba8f7db","31966L0403","A15P2BIS","false",NA
"31983L0447","1983-08-18","1983-08-18","1992-01-01","4fa1cedd-abf9-42fb-befe-e2fae328e3be","31976L0890","A03P3","false","1983-10-18"
"31966L0162","1966-02-28","1966-03-01","1999-07-30","d4b0fa07-500a-4196-afc5-43547911a9e2","11957E063","P3","false","1973-07-01"
"31982L0957","1982-12-22","1982-12-29","1990-01-30","4a44c841-03c0-4bf6-b8f3-36600a5a1ae6","31979L0373","A10PTA","false","1985-01-01"
"31974L0508","1974-09-30","1974-09-30","1975-09-29",NA,NA,NA,"false",NA
"31983L0087","1983-02-21","1983-02-22","1998-07-01","14b30172-7154-434f-873c-e68f7272bd26","31977L0101","A10","false",NA
"31967L0126","1967-01-31","1967-01-31","1969-12-31","7e0a743d-56c7-441e-9cc5-e2017fbadb1b","11957E013","P02","false","1968-07-01"
"31980L0218","1980-01-22","1980-01-01","1980-06-30","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31976L0463","1976-05-04","1978-05-05","1997-01-19","717d794f-a381-40ef-9f3f-c25d3375c4ad","31964L0054","A08","false","1977-05-04"
"31994L0055(02)","2004-01-26",NA,NA,NA,NA,NA,NA,NA
"31968L0366","1968-10-15","1968-10-16","1999-07-30","d4b0fa07-500a-4196-afc5-43547911a9e2","11957E063","P2","false","1969-04-16"
"31975L0784","1975-12-18","1975-12-19","1978-12-31","09725608-b0ca-427d-b8e2-13a50aff614c","11957E108","P2","false",NA
"31986L0524","1986-10-27","1986-10-30","1996-03-16","dc576cb4-5040-42c2-837e-c6f19c43d6c4","11957E057","P2","false","1986-12-31"
"31964L0486","1964-07-28","1964-07-30","1967-12-31","76ecfd59-a3ff-4d53-9c2a-072c367b30e5","11957E033","P7","false","1967-01-01"
"31984L0086","1984-02-06","1984-02-09","1984-04-13","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31984L0261","1984-05-07","1984-05-14","1995-03-25","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31984L0223","1984-04-10","1984-04-13","1984-05-14","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31975L0269","1975-04-28","1975-04-30","9999-12-31","86e63262-05ec-4633-94bd-9226dc1b094a","31975L0268","A02P2","true",NA
"31977L0648","1977-10-11","1977-10-14","1978-09-27","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1978-12-31"
"31974L0195","1974-04-10","1974-04-11","1976-07-29","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1975-03-01"
"31965L0264","1965-05-13","1965-05-14","1999-07-30","d4b0fa07-500a-4196-afc5-43547911a9e2","11957E063","P2","false","1973-07-01"
"31967L0531","1967-07-25","1967-07-26","1999-07-30","aa9dd2d0-11e0-40df-8e04-b38cb2200e9c","11957E054","P3","false","1968-01-26"
"31981L1016","1981-12-15","1981-12-21","1983-12-31","b4b312f4-ba77-4cc7-99cd-5fc19c85d2cd","31964L0432","A07P1C)","false","1982-01-01"
"31992L0029","1992-03-31","1992-04-10","9999-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","true","1994-12-31"
"31984L0335","1984-06-19","1984-03-29","2005-12-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1984-06-30"
"31994L0021","1994-05-30","1994-07-20","1997-12-31","cc299c53-3d01-42ec-ad9d-05195509c52e","11992E189B",NA,"false","1994-12-31"
"31996L0029","1996-05-13","2000-05-13","2018-02-05","4a0342aa-0744-4a9d-9b8e-341c0e45f8ea","11957A032",NA,"false","2000-05-13"
"32010L0035","2010-06-16","2010-07-20","9999-12-31","d5a84f05-84b6-456e-92d5-e94879c9719a","12010E294",NA,"true","2011-06-30"
"31979L0370","1979-01-30","1979-02-07","2015-05-31","8e12a450-cb71-4356-bd3b-8a9f980208a0","31967L0548","A08BIS","false","1979-12-31"
"31981L0643","1981-07-29","1981-08-18","2014-10-31","33214808-2cf0-4970-9dec-8f8843c3468d","31970L0156","A11","false","1981-12-31"
"31995L0004","1995-02-21","1995-03-07","2000-07-29","614e9335-f623-406c-987c-c5924e385170","31977L0093","A13P2TIRE2","false","1995-04-01"
"32006L0125","2006-12-05","2006-12-26","9999-12-31","9efdc24b-805a-40a7-a2bb-450e836dd006","31989L0398","A04P1","true","1997-09-30"
"31989L0014","1988-12-15","1988-12-15","9999-12-31","6158267d-6239-484f-a22b-f0fe6256942f","31970L0458","N01P4PTA","true","1990-01-01"
"32014L0077","2014-06-10","2014-07-01","9999-12-31","9cdbfc9b-d814-4e9e-b05d-49dbb7c97ba1","31998L0070","A10P1","true","2015-06-11"
"32009L0009","2009-02-10","2009-03-06","2022-01-27","c2c47535-c88b-4327-b1cc-037151f17287","32001L0082","A88","false","2009-09-06"
"31984L0186","1984-03-26","1984-03-29","1984-03-29","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1984-03-31"
"31995L0498","1995-11-23","1995-11-30","9999-12-31","86e63262-05ec-4633-94bd-9226dc1b094a","31975L0268","A02P2","true",NA
"32002L0024","2002-03-18","2002-05-09","2015-12-31","77d8f3bb-cfe1-43e0-a854-f8c51b9ccda8","11997E251",NA,"false",NA
"31993L0040","1993-06-14","1993-08-24","2001-12-17","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1994-12-31"
"32000L0016","2000-04-10","2000-05-03","2010-08-31","5da7efe4-7429-4995-bb57-a0876f22f41c","11997E152","P4","false","2001-11-03"
"32012L0011","2012-04-19","2012-04-24","2013-06-28","5fb8c667-0bb3-4374-b64b-2e60567b0dfd","12010E153","P2","false","2013-10-31"
"32000L0004","2000-02-28","2000-04-08","2014-10-31","77d8f3bb-cfe1-43e0-a854-f8c51b9ccda8","11997E251",NA,"false","2001-04-07"
"31995L0064","1995-12-08","1996-01-19","2009-06-25","c48a5c6b-0eed-40ce-a41a-27ffe06cb170","11992E213",NA,"false","1997-01-01"
"31996L0046","1996-07-16","1996-05-01","2011-06-13","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A18P2","false","1997-04-30"
"31997L0045","1997-07-14","1997-07-27","2013-07-11","63b42f06-f411-4f26-9e75-e0a2cd5c68bf","31976L0768","A08P2","false","1998-06-30"
"31991L0188","1991-03-19","1991-03-22","2011-06-13","e3b248ee-4150-4c50-985b-b94bb5b356fb","31979L0117","A06","false","1992-03-31"
"32014L0098","2014-10-15","2014-11-05","9999-12-31","88c67828-631c-4053-9dc9-bb92a7fa8f9c","32008L0090","A04","true","2016-12-31"
"31974L0651","1974-12-19","1974-12-20","1992-12-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1975-04-01"
"31987L0522","1987-10-19","1987-10-26","1995-08-11","8d0c3365-8447-455b-9ecb-7d08622db2c6","31985R0797","A18","false",NA
"32008L0024","2008-03-11","2008-03-21","2013-12-31","74f202d1-b0ef-4eec-9e01-631eacaa5e60","12006E047","P2FR1","false",NA
"31994L0068","1994-12-16","1995-01-20","2014-10-31","33214808-2cf0-4970-9dec-8f8843c3468d","31970L0156","A13P2","false","1995-06-30"
"32009L0095","2009-07-31","2009-08-21","2013-08-31","dd121338-803b-4793-b8bd-6db66b18104a","31998L0008","A16P2L2","false","2010-08-31"
"31968L0192","1968-04-05","1968-04-11","1999-07-30","aa9dd2d0-11e0-40df-8e04-b38cb2200e9c","11957E054","P2","false","1968-10-11"
"31976L0760","1976-07-27","1976-07-30","2014-10-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1977-07-01"
"31985L0590","1985-12-20","1985-12-24","2009-06-11","fb5c1ee8-86ec-455d-8822-3eeb0338953b","11985I396",NA,"false",NA
"31997L0004","1997-01-27","1997-02-14","2000-05-25","dfbcf46b-1d98-4a8f-bfe5-08dca7882254","31979L0112","A06P3","false","2000-02-14"
"31981L0715","1981-07-31","1981-08-20","2009-08-25","56fe7d25-5f54-48a1-95e2-6008425b8a4d","31970L0373","A02","false","1981-12-01"
"31993L0107","1993-11-26","1993-12-07","1997-10-07","de2f6bfa-e0e7-4383-af1f-3406fa00a4f1","31970L0524","A07","false","1994-11-30"
"32017L1010","2017-03-13","2017-07-06","9999-12-31","6be9a15c-0644-4f7d-9911-462a649b5c0c","32011L0065","A05P1PTA)","true","2018-07-06"
"32009L0042","2009-05-06","2009-06-26","9999-12-31","7a29eaff-0218-4a50-8002-8b1726d04bdc","12006E285","P1","true",NA
"31982L0880","1982-12-21","1982-12-29","1984-12-31","0176eb51-d4b3-43e3-baa6-e49a2a38620e","11957E092","P3PTD","false",NA
"32016L0856","2016-05-25","2016-06-01","9999-12-31","29f1fad2-d836-434d-ac14-6f5561cc9018","12012E113",NA,"true","2016-08-01"
"31995L0051","1995-10-18","1996-01-01","2003-07-24","a1bf456c-445c-4d1b-b3f3-25d392a15cc9","11992E090","P3","false","1996-10-01"
"32016L1855","2016-10-19","2016-11-09","9999-12-31","cbf632d5-30e6-44f5-85fb-0bfe6c3caf69","32009L0032","A04L1PTA)","true","2018-11-09"
"31978L0611","1978-06-29","1978-07-05","1985-12-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1986-01-05"
"31980L0214","1980-01-22","1980-01-24","1988-12-21","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1980-12-31"
"31985L0002","1984-12-18","1984-12-20","1986-12-31","0176eb51-d4b3-43e3-baa6-e49a2a38620e","11957E092","P3PTD","false",NA
"31982L0436","1982-06-24","1982-07-03","1984-01-01","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false",NA
"31988L0181","1988-03-22","1988-03-25","2002-01-03","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1991-07-01"
"31978L0051","1977-12-13","1977-12-21","1979-01-31","b4b312f4-ba77-4cc7-99cd-5fc19c85d2cd","31964L0432","A04BIS","false","1978-01-01"
"32011L0023","2011-03-03","2011-04-01","2011-06-13","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A06P1","false","2011-09-30"
"31977L0629","1977-09-28","1977-09-30","9999-12-31","862c438d-474a-46cc-9354-984565002e96","31968L0193","A17BIS","true","1978-07-01"
"31981L0421","1981-06-10","1981-07-07","1981-12-31","b2387d0d-2f0a-4ed4-a8b7-0b9227690cd7","11957E213",NA,"false","1981-03-01"
"32008L0025","2008-03-11","2008-03-21","9999-12-31","74f202d1-b0ef-4eec-9e01-631eacaa5e60","12006E047","P2","true",NA
"32001L0032","2001-05-08","2001-05-09","2008-07-22","97ebdf59-5b83-4403-a0ad-d0d31b1045c0","32000L0029","A02P1PTHL1","false",NA
"31979L0110","1979-01-24","1979-01-24","2016-04-19","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31964L0240","1964-03-25","1964-04-06","1969-07-16","2e6d36c9-58c0-4fb2-b0a6-6af2d29bfe2c","11957E048",NA,"false","1964-10-06"
"31982L0712","1982-10-18","1982-10-29","1997-01-19","63961733-492c-4518-a9f2-0253ead1a5c7","11957E",NA,"false","1984-06-30"
"31991L0466","1991-07-22","1991-07-26","9999-12-31","86e63262-05ec-4633-94bd-9226dc1b094a","31975L0268","A02P2","true",NA
"31999L0070","1999-06-28","1999-07-10","9999-12-31","6d1d4a3f-88ca-4407-ae91-93bec504c51c","11997E139","P2","true","2001-07-10"
"32002L0098","2003-01-27","2003-02-08","2027-08-06","5da7efe4-7429-4995-bb57-a0876f22f41c","11997E152","P4PTA)","true","2005-02-08"
"32004L0025","2004-04-21","2004-05-20","9999-12-31","24e001be-bc3d-46e6-803b-b58ac6df6ec6","12002E044","P1","true","2006-05-20"
"32005L0036","2005-09-07","2005-10-20","9999-12-31","3f5c3895-3383-4adb-ba70-a220c9b90a90","12002E047","P2FR3","true","2007-10-20"
"32004L0109","2004-12-15","2005-01-20","2026-12-04","6605ff4a-754d-4d10-bc74-9499a44ae68d","12002E251",NA,"true","2007-01-20"
"31994L0033","1994-06-22","1994-09-09","9999-12-31","b86a5126-9bcd-4a14-982a-e82c9d09bf0e","11992E189C",NA,"true","1996-06-22"
"32014L0031","2014-02-26","2016-04-20","9999-12-31","6b390c35-d623-4785-86a0-1fb492a32cab","12012E294",NA,"true","2016-04-19"
"32017L0828","2017-05-17","2017-06-09","9999-12-31","d3888e0c-402f-4c03-9a52-950ed36e0aae","12016E114",NA,"true","2019-06-10"
"31992L0083","1992-10-19","1992-11-10","9999-12-31","0b35ab4b-ea09-47e8-b302-b321e5587ffe","11957E099",NA,"true","1992-12-31"
"31993L0086","1993-10-04","1993-10-11","2008-09-25","7740f6fe-43ed-49d5-b0fa-516d890c02a0","31975L0442","A18","false","1993-12-31"
"32005L0015","2005-02-28","2005-03-05","2022-12-13","97ebdf59-5b83-4403-a0ad-d0d31b1045c0","32000L0029","A14L2PTD)","false","2005-02-28"
"31978L0175","1978-02-20","1978-02-22","1993-01-01","100e56a9-af68-4606-b14f-1a18f03bb3c2","11957E075","P1","false","1978-07-01"
"32000L0042","2000-06-22","2000-07-01","2008-08-31","4a976d8b-8f69-4bad-bd11-7c1a6879cc68","31986L0362","A10","false","2001-02-28"
"31983L0579","1983-11-16","1983-11-16","1984-07-27","8515b295-6207-4a57-805e-236a24d8fcd9","31969L0073","A12","false","1984-01-01"
"31980L1095","1980-11-11","1980-11-20","2021-04-20","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1981-12-31"
"31976L0630","1976-07-20","1976-12-01","1993-01-01","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1976-12-01"
"31984L0217","1984-04-10","1984-04-13","1986-01-01","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31989L0428","1989-06-21",NA,"1989-06-21","034b6ee8-9829-49b1-81bc-52f0c8b6dea7","11957E130S",NA,"false","1989-12-31"
"31993L0038","1993-06-14","1993-07-01","2004-04-29","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1994-07-01"
"31989L0108","1988-12-21","1989-01-10","9999-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","true","1990-07-10"
"31993L0013","1993-04-05","1993-04-16","9999-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","true","1994-12-31"
"31996L0027","1996-05-20","1996-07-28","2014-10-31","33214808-2cf0-4970-9dec-8f8843c3468d","31970L0156","A13P4","false","1997-05-20"
"31986L0469","1986-09-16","1986-09-25","1997-07-01","759f2d2b-6b09-4d07-ae48-d56a16b166d6","31964L0433","A04","false","1987-04-01"
"31994L0036","1994-06-30","1994-09-10","2010-01-20","02f8d94a-6feb-4af2-b0e7-0651a449f545","31989L0107","A03P2","false","1996-06-30"
"32004L0083","2004-04-29","2004-10-20","2013-12-20","26cca86a-20ab-4305-b6e7-cabad85ae868","12002E063","PT2A)","true","2006-10-10"
"32003L0055","2003-06-26","2003-08-04","2011-03-02","3f5c3895-3383-4adb-ba70-a220c9b90a90","12002E047","P2","false","2004-07-01"
"32005L0033","2005-07-06","2005-08-11","2016-06-09","c13c4f2b-e76e-4c1d-a30c-2d6f263178ba","12002E175","P1","false","2006-08-11"
"31990L0517","1990-10-09","1990-10-23","2015-05-31","8e12a450-cb71-4356-bd3b-8a9f980208a0","31967L0548","A20","false","1991-06-07"
"31993L0093","1993-10-29","1993-11-16","2015-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1995-03-31"
"32006L0066","2006-09-06","2008-09-26","2027-02-18","d795ef77-cdf5-4e55-8058-218d6f362b06","12002E095","P1","true","2008-09-28"
"32006L0103","2006-11-20","2007-01-01","2013-01-18","be2a7a0c-50e7-4d8a-a4f6-7f25e5e7ee49","12005S/TTE/04","P3","true","2007-01-01"
"32014L0091","2014-07-23","2014-09-17","9999-12-31","2e266717-7e4e-4a00-b7d1-fcdc1ac89cf5","12012E053","P1","true","2016-03-18"
"32000L0060","2000-10-23","2000-12-22","9999-12-31","ceb354da-9178-495e-a153-a82016b7d5ef","11997E175","P1","true","2003-12-22"
"31992L0085","1992-10-19","1992-11-24","9999-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","true","1994-11-24"
"31990L0605","1990-11-08","1990-11-20","2013-07-18","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1992-12-31"
"31989L0391","1989-06-12","1989-06-19","9999-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","true","1992-12-31"
"32010L0078","2010-11-24","2011-01-04","2018-01-02","529f345d-dfc8-4ccd-9323-3aef5bbc5e02","12010E053","P1","false","2011-12-31"
"32003L0058","2003-07-15","2003-09-04","2009-10-20","24e001be-bc3d-46e6-803b-b58ac6df6ec6","12002E044","P2PTG)","false","2006-12-30"
"31999L0022","1999-03-29","1999-04-09","9999-12-31","4e029949-9fc3-4c87-bf77-a2bc885a983f","11992E130S","P1","true","2002-04-09"
"32002L0091","2002-12-16","2003-01-04","2012-01-31","ceb354da-9178-495e-a153-a82016b7d5ef","11997E175","P1","false","2006-01-04"
"32009L0029","2009-04-23","2009-06-25","9999-12-31","1923204d-4c33-4a1d-b0f3-3d5e8a226f7f","12006E175","P1","true","2012-12-31"
"31996L0061","1996-09-24","1996-10-30","2008-02-17","4e029949-9fc3-4c87-bf77-a2bc885a983f","11992E130S","P1","false","1999-10-30"
"31999L0035","1999-04-29","1999-06-01","2017-12-19","88ecbc5f-ef18-4db7-a742-032d77f8b671","11992E084","P2","false","2000-12-01"
"31992L0044","1992-06-05","1992-06-22","2003-07-24","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1993-06-05"
"31988L0220","1988-03-22","1988-04-20","2011-07-01","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1989-10-01"
"31996L0009","1996-03-11","1996-04-16","9999-12-31","1c1b5920-90b7-413a-b9f2-4ad20efc6d18","11992E057","P2","true","1997-12-31"
"32011L0061","2011-06-08","2011-07-21","2019-01-12","529f345d-dfc8-4ccd-9323-3aef5bbc5e02","12010E053","P1","true","2013-07-22"
"32003L0010","2003-02-06","2003-02-15","9999-12-31","a7b5cf5a-9b4b-4454-b7b2-28669f5efad8","12002E137","P2","true","2006-02-14"
"32003L0008","2003-01-27","2003-01-31","9999-12-31","5e67fb9a-be79-4a94-9d3b-6fca2a1f5079","11997E061","PTC)","true","2004-11-30"
"32009L0061","2009-07-13","2009-08-25","2015-12-31","171e521a-3ffe-46ac-90eb-ed97dbb7dcd2","12006E251",NA,"false","1980-04-25"
"31985L0374","1985-07-25","1985-07-30","2026-12-08","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"true","1988-07-30"
"31975L0129","1975-02-17","1975-02-19","1998-08-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1977-02-19"
"32005L0029","2005-05-11","2005-06-12","2007-12-11","6605ff4a-754d-4d10-bc74-9499a44ae68d","12002E251",NA,"true","2007-06-12"
"32003L0098","2003-11-17","2003-12-31","2021-07-16","6605ff4a-754d-4d10-bc74-9499a44ae68d","12002E251",NA,"false","2005-07-01"
"32005L0056","2005-10-26","2005-12-15","2017-07-19","6605ff4a-754d-4d10-bc74-9499a44ae68d","12002E251",NA,"false","2007-12-15"
"32004L0024","2004-03-31","2004-04-30","9999-12-31","6605ff4a-754d-4d10-bc74-9499a44ae68d","12002E251",NA,"true","2005-10-30"
"32005L0069","2005-11-16","2005-12-29","2009-05-31","6605ff4a-754d-4d10-bc74-9499a44ae68d","12002E251",NA,"false","2006-12-29"
"31998L0024","1998-04-07","1998-05-25","2006-02-15","b86a5126-9bcd-4a14-982a-e82c9d09bf0e","11992E189C",NA,"true","2001-05-05"
"31995L0046","1995-10-24","1995-12-13","2018-05-24","cc299c53-3d01-42ec-ad9d-05195509c52e","11992E189B",NA,"false","1998-10-24"
"31997L0056","1997-10-20","1997-12-24","2009-05-31","cc299c53-3d01-42ec-ad9d-05195509c52e","11992E189B",NA,"false","1998-12-03"
"31990L0167","1990-03-26","1990-04-06","2022-01-27","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1991-09-30"
"31992L0120","1992-12-17","1993-01-07","1995-12-31","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1993-01-01"
"31992L0119","1992-12-17","1993-01-08","2021-04-20","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1993-10-01"
"31992L0118","1992-12-17","1993-01-06","2021-04-20","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1993-01-01"
"31991L0414","1991-07-15","1991-07-26","2011-06-13","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1993-07-26"
"31990L0667","1990-11-27","1990-12-11","2003-04-29","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1991-12-31"
"32004L0068","2004-04-26","2004-05-20","2021-04-20","757b23c4-c2b5-437d-a73b-f6c4aa6d3ee8","12002E037",NA,"false","2005-11-19"
"31978L0686","1978-07-25","1978-07-28","2007-10-19","974eded0-d2d9-4941-8471-f3333ba93c66","11957E235",NA,"false","1980-01-28"
"32008L0071","2008-07-15","2008-08-28","2021-04-20","446b2d8f-4f90-4c19-94c3-e8f0947a2593","12006E037",NA,"false","1993-12-31"
"31999L0045","1999-05-31","1999-01-01","2015-05-31","77d8f3bb-cfe1-43e0-a854-f8c51b9ccda8","11997E251",NA,"false","2002-07-30"
"31991L0676","1991-12-12","1991-12-19","9999-12-31","034b6ee8-9829-49b1-81bc-52f0c8b6dea7","11957E130S",NA,"true","1993-12-19"
"32015L0849","2015-05-20","2015-06-25","2027-07-09","a7c572b0-ad13-4fd5-8d49-c4b69cd1e32d","12012E114",NA,"true","2017-06-26"
"31992L0084","1992-10-19","1992-11-10","9999-12-31","0b35ab4b-ea09-47e8-b302-b321e5587ffe","11957E099",NA,"true","1992-12-31"
"32002L0099","2002-12-16","2003-02-12","2021-04-20","68248bf6-f090-48f0-a610-89eead354ad8","11997E037",NA,"false","2004-12-31"
"32000L0027","2000-05-02","2000-05-13","2008-07-31","68248bf6-f090-48f0-a610-89eead354ad8","11997E037",NA,"false","2000-12-31"
"32003L0096","2003-10-27","2003-10-31","9999-12-31","0a070903-f5c5-41b9-93bf-ac0a0f525282","12002E093",NA,"true","2003-12-31"
"32000L0078","2000-11-27","2000-12-02","9999-12-31","ceb652fc-ab43-498c-8810-b445fa85469e","11997E013",NA,"true","2003-12-02"
"32000L0043","2000-06-29","2000-07-19","9999-12-31","ceb652fc-ab43-498c-8810-b445fa85469e","11997E013",NA,"true","2003-07-19"
"32004L0067","2004-04-26","2004-05-19","2010-12-01","9c3c9d52-3155-482a-8ee2-cb623dc28421","12002E100",NA,"false","2006-05-19"
"32016L1214","2016-07-25","2016-08-15","9999-12-31","408e3121-2694-467b-905b-dfa95f554d4a","32002L0098","A29P2PTH)","true","2018-02-15"
"32003L0063","2003-06-25","2003-07-01","9999-12-31","6af3ed69-c00a-4629-9deb-a7003a30a52d","32001L0083","A120","true","2003-10-31"
"32000L0032","2000-05-19","2000-06-11","2015-05-31","8e12a450-cb71-4356-bd3b-8a9f980208a0","31967L0548","A28","false","2001-06-01"
"32005L0072","2005-10-21","2006-07-01","2011-06-13","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A06P1","false","2006-12-31"
"32006L0019","2006-02-14","2006-04-01","2011-06-13","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A06P1","false","2006-09-30"
"32010L0021","2010-03-12","2010-04-02","2011-06-13","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A06P1L2TIRE2","false","2010-10-31"
"31980L1101","1980-11-11","1980-11-20","2001-11-30","d3722b3a-d823-451f-8cd0-3bef3af53ede","31980L0217","A19","false","1981-07-01"
"31973L0148","1973-05-21","1973-05-23","2006-04-29","d4b0fa07-500a-4196-afc5-43547911a9e2","11957E063","P2","false","1973-11-22"
"31974L0556","1974-06-04","1974-10-18","9999-12-31","d4b0fa07-500a-4196-afc5-43547911a9e2","11957E063","P2","true","1975-04-18"
"32003L0095","2003-10-27","2003-11-20","2008-10-08","02f8d94a-6feb-4af2-b0e7-0651a449f545","31989L0107","A03P3PTA)","false","2004-11-01"
"32007L0041","2007-06-28","2007-07-19","2019-12-13","97ebdf59-5b83-4403-a0ad-d0d31b1045c0","32000L0029","A14P2PTC)","false","2007-10-31"
"32009L0084","2009-07-28","2009-08-18","2013-08-31","dd121338-803b-4793-b8bd-6db66b18104a","31998L0008","A16P2L2","false","2010-06-30"
"32009L0096","2009-07-31","2009-08-21","2013-08-31","dd121338-803b-4793-b8bd-6db66b18104a","31998L0008","A16P2L2","false","2011-09-01"
"32008L0088","2008-09-23","2008-10-14","2013-07-11","63b42f06-f411-4f26-9e75-e0a2cd5c68bf","31976L0768","A08P2","false","2009-02-14"
"31988L0233","1988-03-02","1988-03-03","2013-07-11","63b42f06-f411-4f26-9e75-e0a2cd5c68bf","31976L0768","A08P2","false","1988-09-30"
"31978L0660","1978-07-25","1978-07-31","2013-07-18","aa9dd2d0-11e0-40df-8e04-b38cb2200e9c","11957E054","P3G","false","1980-07-31"
"31968L0151","1968-03-09","1968-03-11","2009-10-20","aa9dd2d0-11e0-40df-8e04-b38cb2200e9c","11957E054","P3","false","1969-09-11"
"31977L0091","1976-12-13","1976-12-16","2012-12-03","aa9dd2d0-11e0-40df-8e04-b38cb2200e9c","11957E054","P3G","false","1981-12-17"
"31983L0349","1983-06-13","1983-06-29","2013-07-18","aa9dd2d0-11e0-40df-8e04-b38cb2200e9c","11957E054","P3PTG","false","1987-12-31"
"31987L0481","1987-09-09","1987-09-10","2002-08-08","6158267d-6239-484f-a22b-f0fe6256942f","31970L0458","A40BIS","false","1989-07-01"
"31994L0015","1994-04-15","1994-05-12","2002-10-17","78ad2623-4005-44e1-9c80-be36501a2659","31990L0220","A20","false","1994-06-29"
"32014L0073","2014-03-13","2014-06-09","9999-12-31","6be9a15c-0644-4f7d-9911-462a649b5c0c","32011L0065","A05P1PTA)","true","2014-12-31"
"32002L0094","2002-12-09","2003-01-02","2008-12-31","3cdd8e51-60e9-45e5-b353-17fec682461c","31976L0308","A22","false","2003-04-30"
"31991L0155","1991-03-05","1991-03-22","2007-05-31","48ed0d72-19be-421b-a3a6-9db2468bcf3a","31988L0379","A10P2","false","1991-05-30"
"32005L0005","2005-01-26","2005-02-18","2006-06-30","02c67ba9-51c1-45ab-8685-ac85ab96f560","31985L0591","A01","false","2006-02-18"
