"celex","date","dateforce","dateendvalid","lbs","lbcelex","lbsuffix","force","datetranspos"
"31981L0389","1981-05-12","1981-05-22","1993-01-01","de575d5c-132b-4e9f-9251-01fdaa0caded","31977L0489","A07","false","1982-08-22"
"32008L0002","2008-01-15","2008-02-18","2015-12-31","171e521a-3ffe-46ac-90eb-ed97dbb7dcd2","12006E251",NA,"false",NA
"31989L0684","1989-12-21","1990-01-05","1995-01-01","100e56a9-af68-4606-b14f-1a18f03bb3c2","11957E075",NA,"false",NA
"32002L0029","2002-03-19","2002-03-23","2008-07-22","03d62ea5-e44d-49b8-add7-e7b93633c1b6","32001L0032","A02","false",NA
"32002L0025","2002-03-05","2002-04-15","2009-07-14","802aef92-4614-4ac9-b22a-101788de30a1","31998L0018","A08PTB)","false",NA
"31979L0372","1979-04-02","1979-04-06","1998-07-01","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31982L0828","1982-12-03","1982-12-10","2009-05-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31993L0012","1993-03-23","1993-03-27","2009-06-24","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1994-09-30"
"31989L0344","1989-05-03","1989-05-16","2003-08-03","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1988-01-01"
"31988L0436","1988-06-16","1988-06-28","2013-01-01","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1988-10-01"
"31998L0076","1998-10-01","1998-10-14","2011-12-03","61207b8f-f9c9-4d39-8261-1db3032a198b","11992E075","P1","false","1999-10-01"
"31985L0320","1985-06-12","1985-06-19","1998-07-01","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1986-01-01"
"31978L0547","1978-06-12","1978-06-15","1992-07-01","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1979-12-15"
"31985L0348","1985-07-08","1985-07-11","2008-11-30","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1985-10-01"
"31996L0026","1996-04-29","1996-06-12","2011-12-03","b86a5126-9bcd-4a14-982a-e82c9d09bf0e","11992E189C",NA,"false","1001-01-01"
"31992L0110","1992-12-14","1992-12-22","1996-01-01","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1992-12-31"
"32015L0121","2015-01-27","2015-02-17","9999-12-31","516ae86a-21b6-4c96-9f18-f32bd0427f3b","12012E115",NA,"true","2015-12-31"
"31985L0576","1985-12-20","1985-12-24","2006-11-06","0b35ab4b-ea09-47e8-b302-b321e5587ffe","11957E099",NA,"false","1986-07-01"
"31986L0121","1986-04-08","1986-01-01","1994-05-05","fb5c1ee8-86ec-455d-8822-3eeb0338953b","11985I396",NA,"false","1986-01-01"
"32015L2392","2015-12-17","2016-01-07","9999-12-31","329793ac-f1f6-11e3-8cd4-01aa75ed71a1","32014R0596","A32P5","true","2016-07-03"
