"celex","date"
"31982R0062","1982-01-14"
"31986R3727","1986-12-05"
"31999R2193","1999-10-14"
"32002R0771","2002-05-08"
"31978R3166","1978-12-19"
"31993R0564","1993-03-08"
"31990R1195","1990-05-07"
"31994R1877","1994-07-27"
"31982R0065","1982-01-13"
"31982R1381","1982-06-03"
"31974R1538","1974-06-21"
"31996R0261","1996-02-12"
"32006R0982","2006-06-29"
"31984R3253","1984-11-22"
"31975R1536","1975-06-18"
"31987R1779","1987-06-26"
"31981R0559","1981-03-03"
"32004R1721","2004-10-01"
"32002R1795","2002-10-09"
"31983R3607","1983-12-22"
"32001R0862","2001-05-02"
"31990R2847","1990-10-03"
"31975R2483","1975-09-29"
"31997R1298","1997-07-03"
"31999R0820","1999-04-20"
"31990R3446","1990-11-27"
"31968R1116","1968-07-30"
"31989R1212","1989-05-04"
"31996R0402","1996-03-05"
"31971R1677","1971-07-31"
"32005R0836","2005-05-31"
"31989R0902","1989-04-08"
"31990R2705","1990-09-22"
"31991R2878","1991-10-01"
"31997R1395","1997-07-18"
"31991R2439","1991-08-10"
"31975R2493","1975-10-01"
"31989R2693","1989-09-07"
"31993R1362","1993-06-03"
"31988R1884","1988-07-01"
"31989R2925","1989-09-30"
"31994R2746","1994-11-10"
"32002R2270","2002-12-19"
"31976R3126","1976-12-16"
"31979R1815","1979-08-17"
"31985R0594","1985-03-08"
"31978R0513","1978-03-10"
"31993R1111","1993-05-07"
"32004R0594","2004-03-30"
"31992R0201","1992-01-30"
"32003R0956","2003-06-02"
"32001R1943","2001-10-02"
"32017R1237","2017-07-07"
"32008R1177","2008-11-28"
"31976R2908","1976-12-01"
"31974R0318","1974-02-08"
"31996R1402","1996-07-18"
"31992R3648","1992-12-17"
"32001R0860","2001-05-02"
"31975R1818","1975-07-10"
"31973R0853","1973-03-31"
"31968R0555","1968-05-04"
"31993R1932","1993-07-16"
"31995R0166","1995-01-31"
"31992R2877","1992-10-02"
"32000R1078","2000-05-22"
"31992R1401","1992-05-28"
"31986R0971","1986-04-04"
"31979R0810","1979-04-25"
"31967R0491","1967-08-25"
"31978R1112","1978-05-27"
"31974R1478","1974-06-14"
"31973R1058","1973-04-18"
"32010R0710","2010-08-06"
"31979R0581","1979-03-29"
"31990R3708","1990-12-21"
"31979R2422","1979-11-01"
"31980R1304","1980-05-29"
"31974R2881","1974-11-19"
"32005R0403","2005-03-10"
"32003R2213","2003-12-18"
"31976R0315","1976-02-14"
"31984R1393","1984-05-19"
"32001R0953","2001-05-16"
"31987R1384","1987-05-21"
"32013R0460","2013-05-16"
"31997R0218","1997-02-05"
"31975R3193","1975-12-05"
"31986R1098","1986-04-17"
"31992R0264","1992-02-05"
"31978R1258","1978-06-12"
"31989R3558","1989-11-28"
"31987R0078","1987-01-13"
"31989R0059","1989-01-13"
"31997R1388","1997-07-18"
"31998R2858","1998-12-30"
"32009R0310","2009-04-15"
"31998R0378","1998-02-18"
"32017R1434","2017-08-07"
"31982R3484","1982-12-10"
"31978R0125","1978-01-24"
"31977R0824","1977-04-23"
"31993R1035","1993-05-01"
"31974R1506","1974-06-18"
"31992R0342","1992-02-13"
"31975R1980","1975-08-01"
"32013R1406","2013-12-20"
"31993R3560","1993-12-21"
"31982R3106","1982-11-08"
"31972R2297","1972-11-01"
"31968R1844","1968-11-21"
"31970R0493","1970-03-18"
"31997R1747","1997-09-08"
"31974R1776","1974-07-09"
"32000R1411","2000-06-30"
"31999R2499","1999-11-26"
"31994R3090","1994-12-17"
"31988R2814","1988-09-13"
